asn|aspp_average|moreSpecific_average|selective_average
8304|||97.45
8308|92.16|36.66|94.03
8309||50.0|75.0
8315|65.92|17.93|83.97
8319|||78.21
8323||50.0|91.96
8328|100.0|33.33|66.93
8330||50.0|52.79
8331|100.0||
8339|100.0||76.73
8342|50.0|50.0|57.5
8343||41.71|57.61
8346|||50.0
8351|100.0|50.0|100.0
8359|78.82|23.35|100.0
8365|98.61|25.0|69.21
8368|77.47|20.0|84.77
8369|100.0||
8373||43.77|100.0
8374|93.0||100.0
8375|100.0||50.0
8376|9.91|13.42|
8387|86.86||40.18
8391|29.5|29.91|76.53
8395|100.0||
8399|||59.61
8400|||83.33
8402|25.0|34.03|70.17
8403|100.0||94.68
8412|59.16|31.0|100.0
8414|81.11||50.0
8422||22.08|76.99
8423|98.82|27.58|65.32
8426|95.72|8.6|99.69
8437|15.42|13.07|81.01
8445|||75.29
8447||17.77|89.86
8448|100.0|50.0|50.0
8449||50.0|50.0
8452||24.12|95.21
8453|100.0||100.0
8455||8.1|64.23
8464|100.0||
8468|100.0|24.25|46.69
8469|50.0||50.0
8473|76.67|16.13|93.23
8485|||100.0
8487|||89.25
8492||26.04|71.88
8495|93.94||61.99
8508|91.25|20.0|48.6
8517||48.33|51.69
8518||33.91|92.38
8520|27.05|25.0|73.24
8528||50.0|
8530|86.36|50.0|51.85
8540|||91.67
8542||33.33|
8544|100.0|41.2|100.0
8551|73.96|18.28|100.0
8553|||56.14
8554|||62.07
8560|34.34|24.75|99.44
8561|6.0||80.91
8562|50.0||
8569|100.0||57.23
8585|100.0||
8587|100.0||79.03
8590|100.0||100.0
8591||50.0|50.0
8592|100.0||
8595|100.0||
8607|100.0||50.97
8612|51.82||70.49
8613|100.0||50.0
8620|100.0||
8624|||100.0
8632|100.0||
8636|100.0||
8637|||72.73
8647|100.0||
8648|99.06||100.0
8659|99.28|50.0|75.0
8666|||100.0
8674|22.22|21.76|99.59
8676||29.76|43.85
8680|||51.55
8681||33.33|90.77
8683|79.45|33.04|87.88
8685|100.0||
8692|100.0||
8697||15.69|87.92
8708||40.9|91.86
8717|90.73|35.59|88.09
8728||25.0|96.15
8732|99.54|50.0|100.0
8737|23.33|30.38|97.94
8741|100.0||50.0
8745||50.0|50.0
8749|||50.0
8751|||50.0
8755||50.0|
8757|||80.07
8758|88.46|13.53|79.04
8763|85.05|50.0|100.0
8764|44.48||84.73
8767||12.27|79.69
8769|||50.0
8772|51.94|8.61|100.0
8774|100.0||
8778|78.47|50.0|56.34
8781||27.19|83.14
8788|99.52|40.91|100.0
8793|100.0||50.0
8796|||28.22
8819|100.0||
8820|28.93|22.35|84.31
8821||50.0|100.0
8823|76.11|22.79|95.57
8849|17.09||100.0
8851|90.42||61.75
8860|60.0|21.67|100.0
8866||7.69|99.78
8875||30.59|
8879||50.0|50.0
8881|98.27|6.57|87.49
8882|100.0||
8888||9.05|97.1
8893|58.81|18.72|89.38
8895|99.71|26.57|64.29
8896||32.04|54.66
8897|100.0||
8902|100.0||
8903||23.67|85.56
8912|||50.0
8916|||83.33
8925|100.0||33.0
8926||34.93|83.84
8928|||95.09
8932|100.0||50.0
8934||36.67|82.14
8943|100.0||43.61
8948||16.67|
8953|100.0|33.87|78.44
8954|||50.0
8966|65.52||94.1
8972||29.09|46.82
8983||18.23|36.2
8985|||100.0
8987||6.37|
8990|41.34|29.08|86.44
8995|||92.68
9002|100.0||77.47
9008||33.33|82.07
9009|52.98|6.45|99.86
9022|100.0||64.94
9023|100.0||
9026||50.0|50.0
9031|95.61|3.23|80.11
9033|||100.0
9036|100.0||
9044|71.58|24.42|95.93
9049|||47.9
9050|||94.32
9051|100.0||
9053|||65.2
9063||12.54|60.26
9066|||50.0
9070|||50.0
9080|100.0|50.0|50.0
9092|100.0||
9098|100.0||
9099||50.0|
9100|72.08||65.44
9111|100.0||
9115|50.0|49.82|92.72
9119|28.4|14.88|72.48
9120|100.0||
9121|65.29|10.33|92.14
9123|85.33|7.3|76.27
9125|100.0||33.0
9136|100.0|20.73|89.69
9137|100.0||
9143||26.94|95.22
9144|85.29|20.0|88.33
9145|100.0|33.33|62.1
9146||16.58|87.69
9150|93.33||75.28
9153||50.0|66.18
9158|100.0||61.54
9166||25.0|31.53
9167||63.97|25.0
9178|57.96|41.36|96.3
9183|100.0||
9186|||75.44
9188|50.0||98.21
9197|||57.14
9198||50.0|54.69
9201|89.92||41.94
9205|100.0||
9211|||50.0
9221||50.0|100.0
9228||50.0|
9230||20.35|
9245|100.0||
9246|||51.0
9253|100.0||
9260||15.77|100.0
9264|||78.07
9267|100.0||
9268|85.09|7.13|67.03
9269||50.0|50.0
9270|100.0|50.0|52.08
9280|100.0||
9286|||100.0
9287|78.99|16.59|44.37
9292||27.35|62.0
9293|75.0|41.76|87.04
9297|100.0||56.11
9299|57.9|23.44|85.15
9303|||31.25
9304|16.67|17.13|96.53
9312|93.25|25.04|74.77
9318|58.33||92.15
9326|||50.0
9328|33.33|33.67|49.0
9329||4.59|83.0
9335||25.86|99.69
9336|100.0||
9354|100.0||
9355|100.0||
9367|100.0||100.0
9370|100.0|16.67|40.0
9371|100.0||50.0
9381|95.75||93.18
9398||28.18|
9400|||100.0
9406||12.05|
9409|||100.0
9411|100.0||
9430||19.15|88.47
9431|33.33||67.0
9432|100.0||
9433|100.0|25.08|
9434|100.0||
9443||21.04|83.61
9449|38.89|44.72|78.0
9464|||100.0
9471||43.93|
9482||30.88|
9498||3.12|99.85
9500|99.05|40.36|80.39
9503|77.02|17.91|19.88
9504|||100.0
9505||22.22|71.43
9506||18.38|92.61
9507||27.27|50.55
9509|100.0||
9516|||83.33
9534|29.41|11.65|92.81
9535|100.0||
9541|27.69|3.03|79.36
9542|77.78||100.0
9555||17.51|30.02
9558|23.33||100.0
9562|100.0||
9583|25.94|23.75|84.46
9584|25.2|29.77|85.73
9587|71.25|18.99|28.73
9595|100.0||75.0
9601||33.33|64.78
9605|99.26|0.35|72.7
9607|100.0|50.0|63.64
9617|100.0|3.03|
9619||35.46|100.0
9621|100.0||
9622|100.0||
9644||19.26|100.0
9650|100.0||
9652||37.72|92.2
9654|100.0||
9657|||57.27
9671|51.09|48.72|81.47
9674|33.33|42.25|
9676||26.04|50.0
9678||18.44|100.0
9700|||50.0
9714||28.48|100.0
9716|50.0||100.0
9723|98.57||53.17
9729|100.0|34.28|33.0
9732|100.0|50.0|50.0
9735|85.8||81.37
9737|56.67||
9738||50.0|100.0
9744|48.72|45.97|63.11
9749|||50.0
9752|||88.68
9764|||20.07
9790|43.49|16.18|80.02
9794|100.0|66.67|
9797||33.33|67.0
9808||2.29|84.49
9812||42.84|64.19
9814|100.0||
9821|97.86||65.38
9822|75.88|17.49|43.91
9824|99.68|3.46|90.25
9829||0.81|99.91
9830|||81.94
9832||19.33|100.0
9833||29.25|100.0
9835||10.08|100.0
9848|||50.0
9873|81.82|12.29|87.84
9875|100.0||97.98
9877|100.0||
9886|14.29|7.92|99.58
9889||50.0|
9890|100.0||
9891||13.48|66.67
9892|||86.05
9902|44.83|18.66|88.74
9905||5.56|
9911|31.34|13.04|
9916|46.67|33.33|87.9
9919|42.86|27.87|68.56
9924|54.94|24.53|76.13
9927|100.0||
