region|date|tam_1|tam_2|tam_3|tam_4plus
lacnic|20151115|13|16|22|12
lacnic|20151215|13|16|22|12
lacnic|20160115|16|18|22|10
lacnic|20160215|16|18|22|10
lacnic|20160315|22|12|27|14
lacnic|20160415|22|12|27|14
lacnic|20160515|19|25|30|13
lacnic|20160615|19|24|29|13
lacnic|20160715|25|27|30|15
lacnic|20160815|27|25|31|16
lacnic|20160915|27|22|36|19
lacnic|20161015|26|25|33|20
lacnic|20161115|30|27|34|15
lacnic|20161215|36|29|34|19
lacnic|20170115|36|26|34|18
lacnic|20170215|33|26|37|18
lacnic|20170315|33|31|42|22
lacnic|20170415|33|31|42|22
lacnic|20170515|43|39|40|25
lacnic|20170615|47|35|38|20
lacnic|20170715|18|11|16|13
lacnic|20170815|47|30|42|25
lacnic|20170915|47|30|42|25
lacnic|20171015|51|30|41|34
lacnic|20171115|58|35|46|39
lacnic|20171215|53|41|48|39
lacnic|20180115|52|42|48|42
lacnic|20180215|50|46|50|45
lacnic|20180315|50|46|50|45
lacnic|20180415|58|39|49|56
lacnic|20180515|62|49|51|51
lacnic|20180615|68|62|61|52
lacnic|20180715|69|63|76|54
lacnic|20180815|69|63|76|54
lacnic|20180915|71|62|61|62
lacnic|20181015|71|68|73|60
lacnic|20181115|75|77|73|66
lacnic|20181215|74|81|83|76
lacnic|20190115|75|82|96|79
lacnic|20190215|75|82|96|79
lacnic|20190315|88|89|94|81
lacnic|20190415|86|77|95|91
lacnic|20190515|99|84|111|105
lacnic|20190615|110|96|111|103
lacnic|20190715|110|96|111|103
lacnic|20190815|116|100|114|106
lacnic|20190915|116|100|114|106
lacnic|20191015|128|107|119|123
lacnic|20191115|125|117|115|123
lacnic|20191215|120|125|114|120
lacnic|20200115|132|123|105|127
lacnic|20200215|145|118|111|137
lacnic|20200315|147|113|118|140
lacnic|20200415|160|122|112|158
lacnic|20200515|165|134|119|162
lacnic|20200615|178|127|116|158
lacnic|20200715|194|132|118|159
lacnic|20200815|185|152|133|148
lacnic|20200915|214|155|144|171
lacnic|20201015|220|159|152|167
lacnic|20201115|223|170|150|173
lacnic|20201215|240|175|152|184
lacnic|20210115|237|201|154|177
lacnic|20210215|237|209|153|184
lacnic|20210315|246|196|163|190
