#region|date|observed_ases|use_aspp
lacnic|20230715|7966|1604
lacnic|20230815|8070|1612
lacnic|20230915|8222|1688
lacnic|20231015|8128|1674
lacnic|20231115|8137|1721
lacnic|20231215|8173|1752
lacnic|20240115|8228|1761
lacnic|20240215|8297|1779
lacnic|20240315|8332|1805
lacnic|20240415|8375|1838
lacnic|20240515|8447|1895
lacnic|20240615|8472|1914
ripencc|20140615|4266|484
ripencc|20140715|4309|501
ripencc|20140815|4358|497
ripencc|20140915|4404|490
ripencc|20141015|4445|485
ripencc|20141115|4511|510
ripencc|20141215|4582|504
ripencc|20150115|4631|528
ripencc|20150215|4631|528
ripencc|20150315|4739|550
ripencc|20150415|4793|547
ripencc|20150515|4840|557
ripencc|20150615|4916|571
ripencc|20150715|4951|585
ripencc|20150815|4971|580
ripencc|20150915|5016|586
ripencc|20151015|5112|599
ripencc|20151115|5185|596
ripencc|20151215|5244|586
ripencc|20160115|5281|599
ripencc|20160215|5281|599
ripencc|20160315|5452|625
ripencc|20160415|5488|622
ripencc|20160515|5570|636
ripencc|20160615|5630|660
ripencc|20160715|5669|661
ripencc|20160815|5725|668
ripencc|20160915|5781|674
ripencc|20161015|5833|660
ripencc|20161115|5884|676
ripencc|20161215|5940|680
ripencc|20170115|5978|681
ripencc|20170215|6056|691
ripencc|20170315|6122|700
ripencc|20170415|6122|700
ripencc|20170515|6236|706
ripencc|20170615|6298|714
ripencc|20170715|6298|714
ripencc|20170815|6381|739
ripencc|20170915|6381|739
ripencc|20171015|6420|757
ripencc|20171115|6550|774
ripencc|20171215|6540|811
ripencc|20180115|6589|794
ripencc|20180215|6633|814
ripencc|20180315|6663|881
ripencc|20180415|6721|831
ripencc|20180515|6781|836
ripencc|20180615|6867|832
ripencc|20180715|6985|860
ripencc|20180815|6985|860
ripencc|20180915|6965|865
ripencc|20181015|6994|864
ripencc|20181115|7045|878
ripencc|20181215|7114|900
ripencc|20190115|7128|884
ripencc|20190215|7128|884
ripencc|20190315|7218|921
ripencc|20190415|7260|945
ripencc|20190515|7344|959
ripencc|20190615|7369|970
ripencc|20190715|7369|970
ripencc|20190815|7449|977
ripencc|20190915|7449|977
ripencc|20191015|7613|991
ripencc|20191115|7663|1014
ripencc|20191215|7725|1016
ripencc|20200115|7804|1030
ripencc|20200215|7864|1049
ripencc|20200315|7864|1049
ripencc|20200415|8027|1107
ripencc|20200515|8100|1096
ripencc|20200615|8097|1074
ripencc|20200715|8272|1118
ripencc|20200815|8277|1226
ripencc|20200915|8364|1268
ripencc|20201015|8379|1237
ripencc|20201115|8440|1161
ripencc|20201215|8515|1237
ripencc|20210115|8550|1243
ripencc|20210215|8622|1243
ripencc|20210315|8698|1207
ripencc|20210415|8762|1200
ripencc|20210515|8849|1233
ripencc|20210615|8971|1263
ripencc|20210715|8916|1241
ripencc|20210815|8903|1320
ripencc|20210915|9010|1320
ripencc|20211015|9003|1276
ripencc|20211115|9042|1278
ripencc|20211215|9051|1222
ripencc|20220115|9088|1293
ripencc|20220215|9148|1204
ripencc|20220315|9207|1304
ripencc|20220415|9236|1243
ripencc|20220515|9277|1264
ripencc|20220615|9342|1335
ripencc|20220715|9430|1307
ripencc|20220815|9520|1356
ripencc|20220915|9562|1360
ripencc|20221015|9552|1347
ripencc|20221115|9611|1342
ripencc|20221215|9687|1357
ripencc|20230115|9743|1381
ripencc|20230215|9813|1413
ripencc|20230315|10002|1374
ripencc|20230415|9999|1436
ripencc|20230515|10050|1461
ripencc|20230615|10016|1456
ripencc|20230715|10067|1448
ripencc|20230815|10217|1455
ripencc|20230915|10346|1490
ripencc|20231015|10367|1521
ripencc|20231115|10391|1495
ripencc|20231215|10428|1535
ripencc|20240115|10467|1535
ripencc|20240215|10576|1559
ripencc|20240315|10664|1573
ripencc|20240415|10755|1595
ripencc|20240515|10792|1586
ripencc|20240615|10863|1593
internet|20140615|8418|850
internet|20140715|8504|879
internet|20140815|8634|884
internet|20140915|8736|868
internet|20141015|8839|869
internet|20141115|8988|889
internet|20141215|9124|881
internet|20150115|9217|920
internet|20150215|9217|920
internet|20150315|9431|944
internet|20150415|9529|960
internet|20150515|9661|971
internet|20150615|9851|1007
internet|20150715|9962|1030
internet|20150815|10062|1034
internet|20150915|10143|1048
internet|20151015|10352|1077
internet|20151115|10573|1087
internet|20151215|10773|1090
internet|20160115|10884|1113
internet|20160215|10884|1113
internet|20160315|11287|1161
internet|20160415|11382|1154
internet|20160515|11551|1185
internet|20160615|11679|1212
internet|20160715|11879|1239
internet|20160815|12000|1242
internet|20160915|12125|1260
internet|20161015|12296|1258
internet|20161115|12382|1292
internet|20161215|12603|1314
internet|20170115|12663|1317
internet|20170215|12921|1333
internet|20170315|13081|1357
internet|20170415|13081|1357
internet|20170515|13307|1379
internet|20170615|13521|1391
internet|20170715|13521|1391
internet|20170815|13860|1426
internet|20170915|13860|1426
internet|20171015|14064|1468
internet|20171115|14454|1531
internet|20171215|14459|1562
internet|20180115|14575|1552
internet|20180215|14727|1596
internet|20180315|14800|1810
internet|20180415|14949|1643
internet|20180515|15133|1669
internet|20180615|15376|1719
internet|20180715|15733|1786
internet|20180815|15733|1786
internet|20180915|15815|1788
internet|20181015|15975|1790
internet|20181115|16113|1834
internet|20181215|16367|1888
internet|20190115|16440|1902
internet|20190215|16440|1902
internet|20190315|16680|1978
internet|20190415|16814|2015
internet|20190515|17074|2095
internet|20190615|17195|2125
internet|20190715|17195|2125
internet|20190815|17559|2176
internet|20190915|17559|2176
internet|20191015|18064|2246
internet|20191115|18202|2293
internet|20191215|18400|2309
internet|20200115|18680|2361
internet|20200215|18853|2410
internet|20200315|19006|2271
internet|20200415|19404|2523
internet|20200515|19655|2545
internet|20200615|19702|2526
internet|20200715|20218|2592
internet|20200815|20214|2754
internet|20200915|20696|2882
internet|20201015|20766|2845
internet|20201115|20972|2779
internet|20201215|21250|2932
internet|20210115|21437|2959
internet|20210215|21756|2915
internet|20210315|21975|2973
internet|20210415|22224|3024
internet|20210515|22496|3123
internet|20210615|23009|3239
internet|20210715|22923|3183
internet|20210815|23130|3335
internet|20210915|23452|3192
internet|20211015|23508|3361
internet|20211115|23631|3340
internet|20211215|23805|3307
internet|20220115|23991|3447
internet|20220215|24180|3320
internet|20220315|24478|3515
internet|20220415|24545|3434
internet|20220515|24663|3505
internet|20220615|24821|3636
internet|20220715|25096|3642
internet|20220815|25398|3751
internet|20220915|25521|3821
internet|20221015|25608|3846
internet|20221115|25881|3891
internet|20221215|26130|3960
internet|20230115|26288|4000
internet|20230215|26541|4104
internet|20230315|27016|4067
internet|20230415|27025|4225
internet|20230515|27176|4299
internet|20230615|27237|4359
internet|20230715|27354|4395
internet|20230815|27759|4415
internet|20230915|28212|4594
internet|20231015|28128|4608
internet|20231115|28148|4636
internet|20231215|28215|4723
internet|20240115|28443|4742
internet|20240215|28707|4785
internet|20240315|28858|4850
internet|20240415|29078|4937
internet|20240515|29283|4999
internet|20240615|29405|5040
