as_type|date|from1to24|from25to49|from50to74|from75to100
isp|20210315|143|189|131|906
isp|20210415|152|199|144|907
isp|20210515|161|192|171|944
isp|20210615|170|217|185|966
isp|20210715|172|201|177|975
isp|20210815|194|203|179|1022
isp|20210915|185|201|175|986
isp|20211015|192|211|181|1064
isp|20211115|185|206|174|1058
isp|20211215|192|218|174|1049
isp|20220115|195|228|185|1093
isp|20220215|188|221|181|1062
isp|20220315|196|227|196|1134
isp|20220415|188|224|187|1135
isp|20220515|212|224|188|1154
isp|20220615|202|238|214|1198
isp|20220715|203|240|222|1226
isp|20220815|214|248|220|1247
isp|20220915|211|259|229|1280
isp|20221015|210|275|226|1307
isp|20221115|223|282|255|1313
isp|20221215|234|276|260|1349
isp|20230115|225|269|283|1371
isp|20230215|228|289|280|1422
isp|20230315|239|321|280|1384
isp|20230415|242|324|286|1476
isp|20230515|243|326|283|1510
isp|20230615|259|323|298|1550
isp|20230715|275|317|304|1560
isp|20230815|275|319|319|1565
isp|20230915|301|353|332|1592
isp|20231015|282|341|323|1621
isp|20231115|292|342|336|1649
isp|20231215|312|359|316|1681
isp|20240115|319|360|326|1701
isp|20240215|312|356|334|1727
isp|20240315|334|387|327|1727
isp|20240415|353|389|334|1740
isp|20240515|350|414|352|1785
isp|20240615|357|415|342|1816
none|20140615|7|5|8|138
none|20140715|5|5|8|138
none|20140815|5|3|9|140
none|20140915|4|4|7|138
none|20141015|6|3|7|141
none|20141115|5|4|7|139
none|20141215|4|6|9|138
none|20150115|4|7|9|145
none|20150215|6|7|13|152
none|20150315|6|7|13|152
none|20150415|5|8|11|143
none|20150515|4|8|10|149
none|20150615|5|7|10|152
none|20150715|6|9|11|150
none|20150815|5|9|9|147
none|20150915|6|7|9|147
none|20151015|5|7|8|153
none|20151115|8|7|9|155
none|20151215|8|7|11|161
none|20160115|8|8|7|156
none|20160215|8|8|7|156
none|20160315|8|7|14|155
none|20160415|6|6|16|151
none|20160515|9|7|17|154
none|20160615|9|11|13|158
none|20160715|7|13|10|157
none|20160815|6|11|12|152
none|20160915|7|10|10|156
none|20161015|6|11|10|149
none|20161115|6|10|13|148
none|20161215|8|12|11|155
none|20170115|8|10|8|159
none|20170215|8|10|7|164
none|20170315|6|11|12|156
none|20170415|6|11|12|156
none|20170515|6|13|9|155
none|20170615|9|11|8|161
none|20170715|9|11|8|161
none|20170815|8|13|11|160
none|20170915|8|13|11|160
none|20171015|7|14|13|147
none|20171115|10|15|12|154
none|20171215|9|13|14|152
none|20180115|13|12|12|154
none|20180215|13|11|17|148
none|20180315|14|15|19|183
none|20180415|13|11|16|151
none|20180515|9|12|17|149
none|20180615|11|12|15|148
none|20180715|12|13|17|146
none|20180815|12|13|17|146
none|20180915|7|15|18|144
none|20181015|10|15|16|145
none|20181115|12|14|14|142
none|20181215|13|14|16|137
none|20190115|10|16|13|150
none|20190215|10|16|13|150
none|20190315|11|15|12|141
none|20190415|10|13|14|144
none|20190515|9|14|15|153
none|20190615|11|17|13|158
none|20190715|11|15|14|160
none|20190815|11|15|14|160
none|20190915|13|16|13|161
