#as_type|date|disagg_1|disagg_2|disagg_3|disagg_4plus
isp|20140915|35|16|30|240
isp|20141015|41|16|29|246
isp|20141115|46|17|28|273
isp|20141215|48|15|30|283
isp|20150115|47|14|30|284
isp|20150215|47|14|30|284
isp|20150315|51|15|29|274
isp|20150415|48|16|28|288
isp|20150515|46|16|30|288
isp|20150615|48|19|29|289
isp|20150715|44|18|34|292
isp|20150815|40|21|32|303
isp|20150915|43|23|31|297
isp|20151015|51|20|35|306
isp|20151115|56|22|36|321
isp|20151215|63|23|38|333
isp|20160115|66|24|38|340
isp|20160215|66|24|38|340
isp|20160315|78|26|39|371
isp|20160415|76|26|43|365
isp|20160515|82|28|42|368
isp|20160615|89|32|42|390
isp|20160715|97|29|45|393
isp|20160815|97|31|47|395
isp|20160915|103|30|48|397
isp|20161015|106|24|50|419
isp|20161115|116|23|49|428
isp|20161215|120|25|51|439
isp|20170115|124|21|54|436
isp|20170215|123|26|54|448
isp|20170315|129|32|53|464
isp|20170415|129|32|53|464
isp|20170515|135|38|53|490
isp|20170615|139|40|59|507
isp|20170715|139|40|59|507
isp|20170815|145|42|63|538
isp|20170915|145|42|63|538
isp|20171015|144|47|61|537
isp|20171115|159|49|73|569
isp|20171215|162|51|72|609
isp|20180115|168|55|71|626
isp|20180215|175|59|70|610
isp|20180315|174|65|75|615
isp|20180415|175|70|77|626
isp|20180515|181|74|79|621
isp|20180615|186|73|83|658
isp|20180715|200|74|88|693
isp|20180815|200|74|88|693
isp|20180915|213|85|90|761
isp|20181015|224|83|93|782
isp|20181115|239|78|88|804
isp|20181215|246|83|90|816
isp|20190115|246|87|93|828
isp|20190215|246|87|93|828
isp|20190315|261|90|92|848
isp|20190415|265|100|89|870
isp|20190515|273|103|89|886
isp|20190615|298|121|96|904
isp|20190715|298|121|96|904
isp|20190815|314|137|97|937
isp|20190915|314|137|97|937
isp|20191015|342|162|98|1005
isp|20191115|358|161|97|1017
isp|20191215|368|155|102|1042
