#as_type|date|from1to24|from25to49|from50to74|from75to99
internet|20200815|9428|8146|1537|0
internet|20200915|9486|8275|1565|0
internet|20201015|9406|8331|1595|0
internet|20201115|9415|8399|1636|0
internet|20201215|9537|8594|1658|0
internet|20210115|9422|8527|1616|1
internet|20210215|9504|8571|1662|1
internet|20210315|9496|8691|1642|1
internet|20210415|9515|8724|1676|1
internet|20210515|9553|8712|1647|2
internet|20210615|9560|8823|1621|2
internet|20210715|9528|8849|1617|1
internet|20210815|9576|8941|1623|1
internet|20210915|9693|8987|1641|0
internet|20211015|9601|8965|1644|0
internet|20211115|9621|8983|1667|1
internet|20211215|9643|8967|1641|0
internet|20220115|9700|9064|1619|0
internet|20220215|9670|8939|1557|0
internet|20220315|9713|8976|1615|0
internet|20220415|9708|9067|1625|0
internet|20220515|9724|9044|1611|0
internet|20220615|9776|9007|1629|1
internet|20220715|9896|9113|1629|0
internet|20220815|9840|9131|1635|0
internet|20220915|9829|9228|1631|0
internet|20221015|9761|9120|1642|0
internet|20221115|9752|9095|1630|0
internet|20221215|9827|9138|1658|0
internet|20230115|9800|9147|1662|0
internet|20230215|9779|9195|1635|1
internet|20230315|9830|9199|1625|1
internet|20230415|9837|9211|1645|1
internet|20230515|9880|9117|1661|1
internet|20230615|9853|9202|1636|1
internet|20230715|9816|9170|1638|1
internet|20230815|9787|9203|1650|1
internet|20230915|9787|9144|1523|1
internet|20231015|9792|9175|1542|1
internet|20231115|9751|9214|1527|1
internet|20231215|9686|9259|1493|1
internet|20240115|9683|9283|1497|0
internet|20240215|9712|9250|1471|0
internet|20240315|9724|9228|1497|0
internet|20240415|9754|9240|1491|0
internet|20240515|9764|9220|1466|0
internet|20240615|9740|9251|1433|0
isp|20140615|2405|1286|208|0
isp|20140715|2423|1280|212|0
isp|20140815|2477|1306|208|0
isp|20140915|2551|1344|220|1
isp|20141015|2580|1357|222|0
isp|20141115|2588|1398|219|0
isp|20141215|2579|1420|235|0
isp|20150115|2600|1443|232|0
isp|20150215|2636|1452|229|0
isp|20150315|2681|1453|228|0
isp|20150415|2728|1446|243|0
isp|20150515|2740|1526|234|0
isp|20150615|2731|1519|227|0
isp|20150715|2808|1521|231|0
isp|20150815|2844|1553|239|0
isp|20150915|2888|1576|248|0
isp|20151015|2915|1610|249|0
isp|20151115|2893|1594|256|0
isp|20151215|2916|1631|283|0
isp|20160115|3011|1664|278|0
isp|20160215|3024|1746|272|0
isp|20160315|3080|1750|278|0
isp|20160415|3120|1779|279|0
isp|20160515|3121|1820|289|0
isp|20160615|3188|1835|310|0
isp|20160715|3203|1885|311|0
isp|20160815|3251|1953|316|0
isp|20160915|3265|2004|304|0
isp|20161015|3311|2052|294|0
isp|20161115|3345|2066|297|0
isp|20161215|3395|2062|300|0
isp|20170115|3398|2080|325|0
isp|20170215|3443|2149|319|0
isp|20170315|3502|2195|308|0
isp|20170415|3524|2234|324|0
isp|20170515|3547|2294|314|0
isp|20170615|3621|2350|318|1
isp|20170715|3623|2360|353|0
isp|20170815|3667|2369|375|0
isp|20170915|3761|2463|379|0
isp|20171015|3788|2558|375|0
isp|20171115|3878|2616|382|0
isp|20171215|3807|2656|379|0
isp|20180115|3809|2656|377|0
isp|20180215|3854|2661|389|0
isp|20180315|3908|2781|391|0
isp|20180415|3953|2814|414|1
isp|20180515|4028|2858|418|1
isp|20180615|4021|2971|397|1
isp|20180715|4040|3027|405|2
isp|20180815|4059|3058|445|1
isp|20180915|4079|3071|461|1
isp|20181015|4103|3147|451|1
isp|20181115|4147|3154|495|1
isp|20181215|4159|3223|484|1
isp|20190115|4195|3246|510|1
isp|20190215|4171|3358|490|2
isp|20190315|4191|3381|530|1
isp|20190415|4257|3441|526|1
isp|20190515|4277|3486|506|0
isp|20190615|4283|3520|498|0
isp|20190715|4328|3569|514|0
isp|20190815|4308|3698|541|0
isp|20190915|4319|3750|545|0
isp|20191015|4411|3800|554|0
isp|20191115|4459|3942|572|0
isp|20191215|4443|3969|571|0
isp|20200115|4460|4017|592|0
isp|20200215|4507|4062|626|0
isp|20200315|4619|4168|634|0
isp|20200415|4625|4275|639|0
