region|date|from1to24|from25to49|from50to74|from75to100
arin|20240315|444|957|2679|2955
arin|20240415|434|978|2674|2950
arin|20240515|438|1002|2715|2922
arin|20240615|448|1003|2698|2923
internet|20140615|393|1308|4919|7048
internet|20140715|412|1359|4967|7142
internet|20140815|417|1380|5020|7184
internet|20140915|416|1415|5022|7330
internet|20141015|396|1453|5017|7371
internet|20141115|419|1410|5102|7463
internet|20141215|417|1451|5104|7535
internet|20150115|432|1494|5113|7640
internet|20150215|432|1550|5134|7627
internet|20150315|429|1521|5230|7664
internet|20150415|427|1546|5283|7692
internet|20150515|447|1518|5292|7752
internet|20150615|452|1551|5324|7756
internet|20150715|446|1570|5321|7803
internet|20150815|466|1531|5433|7844
internet|20150915|465|1568|5403|7935
internet|20151015|475|1571|5462|7959
internet|20151115|472|1559|5518|8079
internet|20151215|479|1594|5501|8185
internet|20160115|489|1601|5614|8192
internet|20160215|514|1621|5643|8311
internet|20160315|530|1651|5722|8367
internet|20160415|543|1635|5790|8390
internet|20160515|547|1653|5817|8445
internet|20160615|569|1645|5885|8501
internet|20160715|581|1665|5835|8600
internet|20160815|599|1684|5954|8663
internet|20160915|584|1689|5986|8738
internet|20161015|579|1637|5987|8802
internet|20161115|589|1674|5986|8861
internet|20161215|606|1673|6027|8870
internet|20170115|612|1682|6062|8860
internet|20170215|599|1699|6169|9003
internet|20170315|620|1702|6248|9133
internet|20170415|609|1744|6250|9200
internet|20170515|615|1730|6296|9279
internet|20170615|624|1727|6312|9360
internet|20170715|642|1716|6390|9292
internet|20170815|634|1760|6414|9475
internet|20170915|666|1815|6521|9464
internet|20171015|682|1818|6558|9587
internet|20171115|677|1856|6512|9887
internet|20171215|652|1837|6554|9753
internet|20180115|653|1808|6516|9785
internet|20180215|660|1837|6576|9857
internet|20180315|691|1911|6661|9994
internet|20180415|739|2017|6954|10043
internet|20180515|730|1954|6829|10251
internet|20180615|756|2019|6919|10324
internet|20180715|759|1925|6821|10334
internet|20180815|772|1899|6842|10532
internet|20180915|780|1950|6856|10487
internet|20181015|794|1925|6913|10557
internet|20181115|785|1956|6909|10750
internet|20181215|774|1989|6903|10755
internet|20190115|778|2020|6881|10816
internet|20190215|806|2019|6885|10886
internet|20190315|824|1997|6965|10998
internet|20190415|800|1952|6875|11038
internet|20190515|807|2060|6968|11086
internet|20190615|819|2057|6982|11055
internet|20190715|825|2100|6996|11087
internet|20190815|848|2079|7083|11135
internet|20190915|838|2062|7210|11235
internet|20191015|837|2032|7213|11509
internet|20191115|868|2097|7097|11752
internet|20191215|865|2102|7254|11426
internet|20200115|860|2095|7336|11661
internet|20200215|853|2143|7305|11682
internet|20200315|875|2159|7397|11890
internet|20200415|875|2141|7387|12054
internet|20200515|887|2120|7519|12052
internet|20200615|908|2165|7384|12201
internet|20200715|916|2198|7410|12296
internet|20200815|951|2223|7468|12393
internet|20200915|979|2219|7478|12507
internet|20201015|1017|2262|7564|12441
internet|20201115|1010|2239|7560|12434
internet|20201215|1001|2264|7558|12724
internet|20210115|1012|2216|7533|12735
internet|20210215|1014|2233|7510|12770
internet|20210315|1017|2268|7472|12953
internet|20210415|1021|2345|7357|13156
internet|20210515|1039|2263|7536|13040
internet|20210615|1040|2289|7600|13014
internet|20210715|1036|2277|7534|13086
internet|20210815|1014|2280|7664|13199
internet|20210915|1024|2288|7782|13271
internet|20211015|1011|2341|7834|13489
internet|20211115|1039|2357|7847|13245
internet|20211215|1032|2364|7650|13339
internet|20220115|1052|2386|7693|13529
internet|20220215|1060|2433|7733|13503
internet|20220315|1074|2406|7825|13412
internet|20220415|1071|2380|7924|13271
internet|20220515|1041|2402|8100|13189
internet|20220615|1066|2372|7963|13506
internet|20220715|1101|2432|7945|13737
internet|20220815|1104|2471|7627|13848
internet|20220915|1126|2475|7656|13948
internet|20221015|1108|2430|7708|13832
internet|20221115|1099|2428|7939|13444
internet|20221215|1088|2437|7868|13569
internet|20230115|1109|2398|7910|13608
internet|20230215|1094|2391|7928|13587
internet|20230315|1119|2394|8006|13486
internet|20230415|1129|2431|8045|13591
internet|20230515|1128|2455|7937|13672
internet|20230615|1135|2406|7998|13622
internet|20230715|1103|2403|8049|13598
internet|20230815|1151|2511|8319|13853
internet|20230915|1150|2519|8303|14008
internet|20231015|1148|2567|8292|13979
internet|20231115|1116|2588|8224|14007
internet|20231215|1143|2672|8200|13809
internet|20240115|1162|2648|8198|13868
internet|20240215|1144|2575|8058|13677
internet|20240315|1170|2633|8211|13875
internet|20240415|1153|2697|8267|13999
internet|20240515|1183|2709|8385|13887
internet|20240615|1212|2751|8331|13942
lacnic|20140615|50|113|386|894
lacnic|20140715|50|113|393|921
lacnic|20140815|47|112|388|959
lacnic|20140915|51|97|399|1021
lacnic|20141015|46|110|413|1016
lacnic|20141115|50|108|436|1042
lacnic|20141215|47|115|438|1092
lacnic|20150115|46|117|448|1087
lacnic|20150215|49|127|433|1136
lacnic|20150315|47|124|435|1160
lacnic|20150415|53|119|456|1187
lacnic|20150515|57|114|481|1204
lacnic|20150615|58|116|503|1188
lacnic|20150715|56|138|500|1211
lacnic|20150815|60|126|496|1236
lacnic|20150915|61|118|516|1281
lacnic|20151015|69|122|505|1334
lacnic|20151115|67|123|509|1329
lacnic|20151215|64|123|501|1383
lacnic|20160115|70|125|517|1415
lacnic|20160215|79|134|526|1440
lacnic|20160315|92|142|501|1514
lacnic|20160415|91|141|535|1476
lacnic|20160515|86|138|543|1512
