#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9292|apnic|SG|education|True|15|2|0.00|1.00
9293|apnic|HK|hosting|True|65|6|1.00|0.67
9297|apnic|AU|hosting|True|2|1|0.05|1.00
9298|apnic|CN|none|True|13|2|0.69|0.50
9299|apnic|PH|isp|True|481|16|1.00|0.44
9303|apnic|NZ|isp|True|21|1|0.59|0.50
9304|apnic|HK|isp|True|464|49|1.00|0.10
9306|apnic|CN|education|True|6|3|0.98|0.67
9308|apnic|CN|business|True|71|3|0.98|0.33
9311|apnic|TW|hosting|False|0|0|0.00|1.00
9312|apnic|HK|hosting|False|0|0|0.00|1.00
9313|apnic|AU|isp|True|27|4|1.00|0.75
9314|apnic|AU|none|False|0|0|0.00|1.00
9315|apnic|AU|none|False|0|0|0.00|1.00
9316|apnic|KR|isp|False|0|0|0.00|1.00
9317|apnic|KR|education|False|0|0|0.00|1.00
9318|apnic|KR|isp|True|327|19|1.00|0.75
9319|apnic|KR|isp|True|47|3|0.18|1.00
9320|apnic|KR|business|False|0|0|0.00|1.00
9321|apnic|KR|education|True|16|3|0.87|0.67
9322|apnic|KR|education|True|6|1|0.75|0.67
9323|apnic|KR|education|True|14|1|0.88|0.50
9325|apnic|NZ|none|False|0|0|0.00|1.00
9326|apnic|ID|isp|True|8|5|1.00|0.60
9327|apnic|NZ|hosting|False|0|0|0.00|1.00
9328|apnic|AU|hosting|True|1|1|0.00|1.00
9329|apnic|LK|isp|True|42|33|1.00|0.88
9334|apnic|PH|hosting|False|0|0|0.00|1.00
9336|apnic|AU|hosting|False|0|0|0.00|1.00
9338|apnic|NZ|none|False|0|0|0.00|1.00
9340|apnic|ID|hosting|True|257|2|0.00|1.00
9341|apnic|ID|isp|True|31|2|0.42|1.00
9342|apnic|AU|business|False|0|0|0.00|1.00
9345|apnic|NZ|none|False|0|0|0.00|1.00
9346|apnic|TW|none|False|0|0|0.00|1.00
9348|apnic|AU|government|False|0|0|0.00|1.00
9351|apnic|JP|business|False|0|0|0.00|1.00
9352|apnic|JP|none|False|0|0|0.00|1.00
9353|apnic|JP|hosting|True|1|1|0.80|0.50
9354|apnic|JP|isp|True|49|3|1.00|0.83
9355|apnic|JP|education|False|0|0|0.00|1.00
9357|apnic|JP|business|False|0|0|0.00|1.00
9358|apnic|JP|business|False|0|0|0.00|1.00
9363|apnic|JP|none|False|0|0|0.00|1.00
9365|apnic|JP|business|False|0|0|0.00|1.00
9366|apnic|JP|business|True|10|3|0.98|0.67
9367|apnic|JP|education|False|0|0|0.00|1.00
9370|apnic|JP|hosting|False|0|0|0.00|1.00
9371|apnic|JP|hosting|False|0|0|0.00|1.00
9374|apnic|JP|isp|False|0|0|0.00|1.00
9378|apnic|JP|isp|False|0|0|0.00|1.00
9381|apnic|HK|hosting|True|172|11|1.00|0.91
9384|apnic|AU|hosting|True|3|3|1.00|0.67
9385|apnic|AU|none|False|0|0|0.00|1.00
9386|apnic|PH|none|True|2|1|0.67|0.50
9387|apnic|PK|hosting|False|0|0|0.00|1.00
9389|apnic|CN|business|False|0|0|0.00|1.00
9391|apnic|CN|none|False|0|0|0.00|1.00
9394|apnic|CN|isp|True|308|9|1.00|0.78
9395|apnic|CN|none|False|0|0|0.00|1.00
9396|apnic|IN|none|True|66|3|1.00|0.33
9398|apnic|AU|none|True|16|1|0.00|1.00
9399|apnic|NZ|none|False|0|0|0.00|1.00
9401|apnic|CN|business|False|0|0|0.00|1.00
9406|apnic|CN|none|False|0|0|0.00|1.00
