#region|date|baixa|media|alta
apnic|20210515|123|245|245
apnic|20210615|132|274|254
apnic|20210715|124|276|242
apnic|20210815|134|286|267
apnic|20210915|146|298|263
apnic|20211015|146|276|275
apnic|20211115|148|281|264
apnic|20211215|143|285|277
apnic|20220115|153|293|276
apnic|20220215|151|299|280
apnic|20220315|160|302|292
apnic|20220415|160|289|299
apnic|20220515|162|297|288
apnic|20220615|170|295|301
apnic|20220715|183|311|296
apnic|20220815|187|314|282
apnic|20220915|172|322|288
apnic|20221015|183|303|309
apnic|20221115|185|311|324
apnic|20221215|171|313|309
apnic|20230115|175|320|317
apnic|20230215|183|325|328
apnic|20230315|195|334|327
apnic|20230415|180|344|328
apnic|20230515|185|336|330
apnic|20230615|185|339|328
apnic|20230715|176|340|334
apnic|20230815|187|361|351
apnic|20230915|199|365|350
apnic|20231015|195|356|367
apnic|20231115|195|361|350
apnic|20231215|188|350|362
apnic|20240115|195|365|367
apnic|20240215|204|365|349
apnic|20240315|194|370|379
apnic|20240415|207|369|375
apnic|20240515|214|372|380
apnic|20240615|204|382|375
arin|20140615|78|134|174
arin|20140715|74|134|184
arin|20140815|78|135|185
arin|20140915|82|142|180
arin|20141015|77|156|184
arin|20141115|82|151|192
arin|20141215|82|150|194
arin|20150115|83|159|200
arin|20150215|91|157|199
arin|20150315|91|163|199
arin|20150415|93|153|207
arin|20150515|94|163|202
arin|20150615|97|166|221
arin|20150715|101|165|229
arin|20150815|101|168|231
arin|20150915|102|161|233
arin|20151015|102|168|229
arin|20151115|109|164|235
arin|20151215|110|159|235
arin|20160115|112|172|223
arin|20160215|114|170|245
arin|20160315|120|163|249
arin|20160415|115|177|244
arin|20160515|121|173|247
arin|20160615|126|173|247
arin|20160715|131|173|237
arin|20160815|131|174|243
arin|20160915|126|188|242
arin|20161015|131|193|249
arin|20161115|133|206|264
arin|20161215|134|207|274
arin|20170115|140|193|278
arin|20170215|147|191|280
arin|20170315|143|207|273
arin|20170415|145|214|283
arin|20170515|150|218|275
arin|20170615|156|225|269
arin|20170715|157|238|271
arin|20170815|156|243|271
arin|20170915|157|238|269
arin|20171015|158|238|265
arin|20171115|166|254|270
arin|20171215|172|247|267
arin|20180115|173|260|269
arin|20180215|181|255|274
arin|20180315|180|265|279
arin|20180415|163|275|291
arin|20180515|164|278|292
arin|20180615|174|273|299
arin|20180715|179|270|322
arin|20180815|176|263|317
arin|20180915|174|272|313
arin|20181015|173|276|303
arin|20181115|175|275|302
arin|20181215|180|271|305
arin|20190115|180|267|315
arin|20190215|184|270|307
arin|20190315|188|269|322
arin|20190415|191|272|313
arin|20190515|188|291|321
arin|20190615|196|286|319
arin|20190715|194|277|319
arin|20190815|198|274|325
arin|20190915|195|291|312
arin|20191015|202|281|319
arin|20191115|203|280|319
arin|20191215|202|280|335
arin|20200115|197|298|323
arin|20200215|195|300|315
arin|20200315|205|298|327
arin|20200415|208|286|337
arin|20200515|204|295|344
arin|20200615|211|291|334
arin|20200715|223|293|335
arin|20200815|224|300|334
arin|20200915|234|321|328
arin|20201015|230|295|350
arin|20201115|231|297|354
arin|20201215|228|307|352
arin|20210115|237|302|342
arin|20210215|234|304|351
arin|20210315|236|306|358
arin|20210415|238|310|357
arin|20210515|240|310|364
arin|20210615|246|324|356
arin|20210715|244|324|348
arin|20210815|244|323|354
arin|20210915|254|319|359
arin|20211015|249|328|349
arin|20211115|249|328|357
arin|20211215|255|309|366
arin|20220115|257|312|367
arin|20220215|273|301|380
arin|20220315|258|338|358
arin|20220415|258|329|360
arin|20220515|255|341|358
arin|20220615|266|342|355
arin|20220715|272|341|368
arin|20220815|280|338|376
arin|20220915|264|337|388
arin|20221015|268|335|380
arin|20221115|274|341|369
arin|20221215|264|345|376
arin|20230115|267|342|380
arin|20230215|270|352|391
arin|20230315|277|367|385
arin|20230415|281|371|387
arin|20230515|275|382|383
arin|20230615|277|385|385
arin|20230715|277|377|373
arin|20230815|287|377|379
arin|20230915|294|385|391
arin|20231015|301|378|395
arin|20231115|285|381|393
arin|20231215|295|381|388
arin|20240115|296|375|389
arin|20240215|298|370|397
arin|20240315|293|370|411
arin|20240415|298|367|418
arin|20240515|314|383|408
arin|20240615|308|374|433
internet|20140615|163|347|585
internet|20140715|162|347|608
internet|20140815|170|348|622
internet|20140915|173|353|648
internet|20141015|164|384|649
internet|20141115|176|386|657
internet|20141215|180|389|665
internet|20150115|178|406|670
internet|20150215|193|403|662
internet|20150315|196|404|665
internet|20150415|201|396|671
internet|20150515|207|417|668
internet|20150615|218|421|710
internet|20150715|220|433|741
internet|20150815|216|435|746
internet|20150915|223|428|762
internet|20151015|222|455|773
internet|20151115|228|460|793
internet|20151215|236|455|804
internet|20160115|237|493|793
internet|20160215|252|506|844
internet|20160315|261|513|846
internet|20160415|257|521|876
internet|20160515|253|539|893
internet|20160615|266|562|898
internet|20160715|280|550|885
internet|20160815|287|546|909
internet|20160915|284|577|920
internet|20161015|284|598|976
internet|20161115|287|613|1004
internet|20161215|300|636|998
internet|20170115|317|617|983
internet|20170215|314|620|1016
internet|20170315|330|649|1015
internet|20170415|334|645|1034
internet|20170515|354|640|1045
internet|20170615|363|671|1071
internet|20170715|368|711|1071
internet|20170815|366|739|1048
internet|20170915|372|762|1049
internet|20171015|386|748|1058
internet|20171115|433|805|1105
internet|20171215|427|807|1117
internet|20180115|447|816|1114
internet|20180215|451|840|1132
internet|20180315|451|867|1166
internet|20180415|457|880|1202
internet|20180515|452|875|1244
internet|20180615|467|891|1244
internet|20180715|486|957|1289
internet|20180815|489|919|1281
internet|20180915|498|943|1256
internet|20181015|498|950|1301
internet|20181115|508|988|1278
internet|20181215|530|1001|1360
internet|20190115|532|1003|1379
internet|20190215|545|996|1405
internet|20190315|548|1013|1453
internet|20190415|563|1012|1455
internet|20190515|564|1026|1506
internet|20190615|590|1065|1507
internet|20190715|595|1068|1534
internet|20190815|610|1061|1581
internet|20190915|622|1092|1605
internet|20191015|637|1112|1645
internet|20191115|634|1151|1677
internet|20191215|652|1160|1697
internet|20200115|666|1187|1719
internet|20200215|665|1232|1687
internet|20200315|685|1212|1779
internet|20200415|699|1221|1755
internet|20200515|711|1254|1814
internet|20200615|738|1240|1849
internet|20200715|758|1263|1909
internet|20200815|757|1255|1906
internet|20200915|831|1315|1957
internet|20201015|785|1295|1988
internet|20201115|811|1312|1996
internet|20201215|822|1307|2047
internet|20210115|849|1319|2060
internet|20210215|845|1352|2108
internet|20210315|870|1390|2151
internet|20210415|895|1409|2177
internet|20210515|918|1448|2244
internet|20210615|987|1544|2331
internet|20210715|917|1507|2306
internet|20210815|921|1535|2366
internet|20210915|993|1601|2413
internet|20211015|956|1604|2457
internet|20211115|964|1609|2442
internet|20211215|990|1616|2460
internet|20220115|995|1642|2555
internet|20220215|1027|1656|2634
internet|20220315|1015|1694|2631
internet|20220415|1026|1694|2598
internet|20220515|1026|1732|2584
internet|20220615|1069|1738|2635
internet|20220715|1119|1811|2705
internet|20220815|1133|1830|2720
internet|20220915|1141|1825|2782
internet|20221015|1131|1787|2830
internet|20221115|1134|1849|2896
internet|20221215|1134|1847|2922
internet|20230115|1137|1871|2930
internet|20230215|1189|1934|2975
internet|20230315|1287|2033|2962
internet|20230415|1248|2049|2954
internet|20230515|1270|2040|2983
internet|20230615|1226|2040|2956
internet|20230715|1250|2022|2927
internet|20230815|1309|2091|3007
internet|20230915|1406|2152|3095
internet|20231015|1352|2051|3116
internet|20231115|1331|2128|3113
internet|20231215|1349|2126|3120
internet|20240115|1373|2151|3110
internet|20240215|1397|2136|3154
internet|20240315|1383|2185|3191
internet|20240415|1424|2191|3205
internet|20240515|1492|2246|3221
internet|20240615|1490|2254|3244
lacnic|20140615|13|33|47
lacnic|20140715|15|31|49
lacnic|20140815|14|34|53
lacnic|20140915|12|35|56
lacnic|20141015|13|32|67
lacnic|20141115|11|36|71
lacnic|20141215|11|38|69
lacnic|20150115|10|39|67
lacnic|20150215|11|41|62
lacnic|20150315|12|35|70
lacnic|20150415|12|36|65
lacnic|20150515|11|41|65
lacnic|20150615|17|41|65
lacnic|20150715|13|43|70
lacnic|20150815|14|41|70
lacnic|20150915|13|41|75
lacnic|20151015|13|45|78
lacnic|20151115|17|38|84
lacnic|20151215|14|43|89
lacnic|20160115|16|52|91
lacnic|20160215|23|54|103
lacnic|20160315|23|56|107
lacnic|20160415|22|57|114
lacnic|20160515|24|60|114
lacnic|20160615|24|66|124
lacnic|20160715|27|66|120
lacnic|20160815|27|69|121
lacnic|20160915|30|74|110
lacnic|20161015|28|76|124
lacnic|20161115|28|75|129
lacnic|20161215|34|84|126
lacnic|20170115|37|85|122
lacnic|20170215|34|81|132
lacnic|20170315|46|84|133
lacnic|20170415|38|84|143
lacnic|20170515|42|88|156
lacnic|20170615|44|94|171
lacnic|20170715|49|96|175
lacnic|20170815|47|105|167
lacnic|20170915|43|107|177
lacnic|20171015|49|113|171
lacnic|20171115|62|131|176
lacnic|20171215|50|138|191
lacnic|20180115|53|137|194
lacnic|20180215|53|142|204
lacnic|20180315|59|145|202
lacnic|20180415|69|136|222
lacnic|20180515|63|138|233
lacnic|20180615|67|142|234
lacnic|20180715|71|169|236
lacnic|20180815|76|165|239
lacnic|20180915|73|170|241
lacnic|20181015|78|187|276
lacnic|20181115|84|200|231
lacnic|20181215|92|195|264
lacnic|20190115|84|206|282
lacnic|20190215|90|198|291
lacnic|20190315|88|204|293
lacnic|20190415|86|198|288
lacnic|20190515|82|201|310
lacnic|20190615|99|207|322
lacnic|20190715|101|213|340
lacnic|20190815|108|223|354
lacnic|20190915|113|240|364
lacnic|20191015|122|247|379
lacnic|20191115|122|257|405
lacnic|20191215|129|264|413
lacnic|20200115|145|267|413
lacnic|20200215|147|283|417
lacnic|20200315|156|280|462
lacnic|20200415|167|285|438
lacnic|20200515|169|295|463
