as_type|date|from1to24|from25to49|from50to74|from75to100
isp|20210115|54|83|381|1364
isp|20210215|57|90|390|1373
isp|20210315|64|93|415|1399
isp|20210415|61|109|410|1435
isp|20210515|62|120|436|1482
isp|20210615|69|136|461|1565
isp|20210715|63|122|434|1560
isp|20210815|57|126|452|1603
isp|20210915|67|129|473|1673
isp|20211015|61|139|486|1693
isp|20211115|66|133|463|1717
isp|20211215|67|123|446|1778
isp|20220115|64|121|497|1803
isp|20220215|64|136|499|1843
isp|20220315|68|140|525|1822
isp|20220415|74|129|514|1849
isp|20220515|68|120|532|1843
isp|20220615|63|130|518|1914
isp|20220715|69|129|565|1984
isp|20220815|69|133|530|2032
isp|20220915|76|130|535|2080
isp|20221015|69|150|589|2035
isp|20221115|76|141|626|2115
isp|20221215|61|138|624|2154
isp|20230115|71|136|627|2166
isp|20230215|78|141|636|2243
isp|20230315|84|154|656|2298
isp|20230415|75|154|640|2331
isp|20230515|76|170|642|2335
isp|20230615|85|159|669|2292
isp|20230715|84|175|647|2311
isp|20230815|86|167|688|2395
isp|20230915|88|194|682|2507
isp|20231015|82|172|662|2462
isp|20231115|78|173|686|2497
isp|20231215|81|154|682|2545
isp|20240115|90|159|677|2564
isp|20240215|81|169|654|2586
isp|20240315|86|179|632|2651
isp|20240415|90|188|630|2669
isp|20240515|101|189|650|2723
isp|20240615|93|181|641|2759
none|20140615|5|10|44|92
none|20140715|6|9|38|90
none|20140815|6|8|41|91
none|20140915|7|10|38|93
none|20141015|9|9|41|93
none|20141115|8|6|43|93
none|20141215|8|7|39|97
none|20150115|8|8|38|93
none|20150215|4|8|36|91
none|20150315|5|10|35|99
none|20150415|5|12|31|92
none|20150515|6|9|33|97
none|20150615|8|8|44|100
none|20150715|8|8|39|111
none|20150815|6|9|43|102
none|20150915|9|9|40|110
none|20151015|7|11|40|110
none|20151115|7|13|42|109
none|20151215|6|16|35|115
none|20160115|7|17|36|116
none|20160215|8|13|40|122
none|20160315|9|15|44|122
none|20160415|11|15|44|120
none|20160515|13|18|44|127
none|20160615|12|18|38|140
none|20160715|11|13|41|133
none|20160815|10|13|37|138
none|20160915|12|14|43|134
none|20161015|10|12|52|129
none|20161115|10|12|53|132
none|20161215|11|14|50|137
none|20170115|13|12|47|141
none|20170215|10|13|43|141
none|20170315|9|17|48|143
none|20170415|10|17|48|150
none|20170515|6|17|55|148
none|20170615|7|15|55|160
none|20170715|6|16|52|162
none|20170815|7|19|53|153
none|20170915|6|17|39|166
none|20171015|7|15|46|156
none|20171115|8|14|58|160
none|20171215|8|16|52|156
none|20180115|7|14|49|166
none|20180215|8|14|54|165
none|20180315|11|11|54|172
none|20180415|7|18|55|172
none|20180515|7|16|60|173
none|20180615|7|14|52|169
none|20180715|8|17|53|181
none|20180815|6|15|58|165
none|20180915|4|16|57|164
none|20181015|2|17|54|165
none|20181115|2|21|50|174
none|20181215|2|21|54|173
none|20190115|3|20|55|165
none|20190215|1|19|58|162
none|20190315|2|15|63|173
none|20190415|2|19|69|167
none|20190515|3|14|77|165
none|20190615|3|14|74|171
none|20190715|5|16|76|165
none|20190815|5|24|71|178
none|20190915|4|16|74|186
none|20191015|3|16|73|194
none|20191115|2|16|69|196
none|20191215|3|17|79|172
none|20200115|2|19|69|175
none|20200215|4|19|57|187
none|20200315|4|18|62|188
none|20200415|6|19|58|184
none|20200515|4|14|67|191
none|20200615|8|17|60|179
none|20200715|10|16|56|190
none|20200815|7|15|59|179
none|20200915|7|13|66|205
none|20201015|7|14|65|173
none|20201115|8|12|62|168
none|20201215|8|15|58|172
none|20210115|7|13|61|169
none|20210215|8|12|68|167
none|20210315|8|19|65|173
none|20210415|6|17|63|182
none|20210515|5|19|75|180
none|20210615|8|19|75|210
none|20210715|7|21|62|186
none|20210815|6|21|63|187
none|20210915|7|18|68|209
none|20211015|6|20|64|200
none|20211115|6|17|60|203
none|20211215|8|15|61|190
none|20220115|5|17|59|198
none|20220215|7|16|55|205
none|20220315|8|12|57|199
none|20220415|9|14|60|176
none|20220515|9|15|51|176
none|20220615|2|14|45|176
none|20220715|3|17|50|185
none|20220815|5|17|42|192
none|20220915|5|13|43|190
none|20221015|2|12|51|173
none|20221115|3|11|47|170
none|20221215|5|8|43|176
none|20230115|4|8|39|180
none|20230215|3|8|43|181
none|20230315|4|7|48|190
none|20230415|4|8|38|173
none|20230515|7|8|37|174
none|20230615|4|5|39|147
none|20230715|5|2|41|144
none|20230815|4|7|32|150
none|20230915|2|5|43|160
none|20231015|4|6|35|151
none|20231115|4|7|30|140
none|20231215|2|8|27|113
none|20240115|5|3|23|108
none|20240215|3|3|24|96
none|20240315|5|3|18|92
none|20240415|4|3|16|82
none|20240515|4|2|11|77
none|20240615|3|2|7|65
