region|date|from1to24|from25to49|from50to74|from75to100
arin|20240115|21|62|230|747
arin|20240215|23|61|227|754
arin|20240315|23|70|225|756
arin|20240415|28|73|224|758
arin|20240515|30|67|213|795
arin|20240615|27|71|222|795
internet|20140615|29|79|331|656
internet|20140715|32|81|335|669
internet|20140815|33|82|350|675
internet|20140915|32|91|370|681
internet|20141015|35|86|380|696
internet|20141115|35|92|374|718
internet|20141215|37|92|364|741
internet|20150115|35|93|375|751
internet|20150215|32|89|379|758
internet|20150315|34|94|366|771
internet|20150415|37|94|366|771
internet|20150515|34|95|379|784
internet|20150615|44|108|398|799
internet|20150715|48|111|396|839
internet|20150815|39|113|413|832
internet|20150915|53|121|405|834
internet|20151015|58|123|416|853
internet|20151115|60|124|432|865
internet|20151215|54|132|414|895
internet|20160115|55|142|411|915
internet|20160215|63|131|437|971
internet|20160315|56|124|439|1001
internet|20160415|59|132|450|1013
internet|20160515|60|130|469|1026
internet|20160615|58|137|452|1079
internet|20160715|54|135|451|1075
internet|20160815|54|113|479|1096
internet|20160915|69|119|495|1098
internet|20161015|59|136|518|1145
internet|20161115|51|143|524|1186
internet|20161215|59|135|511|1229
internet|20170115|59|131|514|1213
internet|20170215|68|137|510|1235
internet|20170315|64|135|540|1255
internet|20170415|66|148|526|1273
internet|20170515|65|154|536|1284
internet|20170615|72|148|556|1329
internet|20170715|67|160|547|1376
internet|20170815|69|170|529|1385
internet|20170915|65|171|506|1441
internet|20171015|64|172|519|1437
internet|20171115|65|195|559|1524
internet|20171215|75|200|582|1494
internet|20180115|76|201|574|1526
internet|20180215|75|205|587|1556
internet|20180315|74|197|617|1596
internet|20180415|77|210|622|1630
internet|20180515|80|201|655|1635
internet|20180615|80|197|653|1672
internet|20180715|85|212|678|1757
internet|20180815|79|190|668|1752
internet|20180915|81|190|679|1747
internet|20181015|68|192|686|1804
internet|20181115|72|197|693|1813
internet|20181215|69|198|701|1923
internet|20190115|70|204|706|1934
internet|20190215|75|195|710|1967
internet|20190315|70|193|761|1990
internet|20190415|68|193|781|1987
internet|20190515|70|188|826|2012
internet|20190615|73|219|817|2053
internet|20190715|75|222|804|2096
internet|20190815|85|216|816|2135
internet|20190915|79|202|847|2192
internet|20191015|78|197|829|2291
internet|20191115|84|201|818|2359
internet|20191215|86|221|850|2352
internet|20200115|82|209|860|2421
internet|20200215|90|215|836|2443
internet|20200315|92|200|862|2523
internet|20200415|99|230|891|2455
internet|20200515|92|237|852|2598
internet|20200615|95|246|869|2617
internet|20200715|102|234|910|2684
internet|20200815|109|230|894|2684
internet|20200915|99|226|933|2844
internet|20201015|97|235|901|2835
internet|20201115|104|230|903|2881
internet|20201215|105|241|893|2937
internet|20210115|106|240|909|2973
internet|20210215|113|249|933|3010
internet|20210315|118|267|964|3062
internet|20210415|115|275|964|3127
internet|20210515|113|278|1013|3207
internet|20210615|127|294|1059|3382
internet|20210715|118|273|995|3343
internet|20210815|112|283|1022|3404
internet|20210915|119|295|1080|3513
internet|20211015|117|316|1073|3512
internet|20211115|124|299|1028|3565
internet|20211215|134|281|1005|3647
internet|20220115|125|286|1072|3710
internet|20220215|129|311|1080|3798
internet|20220315|138|312|1138|3753
internet|20220415|144|311|1118|3746
internet|20220515|143|302|1140|3758
internet|20220615|124|328|1128|3862
internet|20220715|129|316|1199|3991
internet|20220815|134|328|1151|4070
internet|20220915|141|329|1153|4125
internet|20221015|129|333|1218|4068
internet|20221115|137|328|1259|4155
internet|20221215|122|321|1252|4208
internet|20230115|139|328|1232|4240
internet|20230215|142|326|1259|4372
internet|20230315|153|341|1291|4498
internet|20230415|143|350|1257|4501
internet|20230515|149|377|1262|4505
internet|20230615|147|362|1290|4423
internet|20230715|147|385|1247|4419
internet|20230815|146|375|1282|4604
internet|20230915|156|392|1288|4817
internet|20231015|149|378|1259|4733
internet|20231115|139|381|1281|4771
internet|20231215|149|369|1282|4795
internet|20240115|153|353|1273|4855
internet|20240215|151|368|1253|4915
internet|20240315|159|383|1249|4968
internet|20240415|165|411|1268|4976
internet|20240515|179|398|1259|5123
internet|20240615|155|401|1275|5157
lacnic|20140615|3|6|31|53
lacnic|20140715|3|4|32|56
lacnic|20140815|5|5|35|56
lacnic|20140915|3|7|38|55
lacnic|20141015|4|9|39|60
lacnic|20141115|8|10|42|58
lacnic|20141215|6|8|37|67
lacnic|20150115|5|9|39|63
lacnic|20150215|5|7|40|62
lacnic|20150315|4|10|39|64
lacnic|20150415|4|10|38|61
lacnic|20150515|3|9|42|63
lacnic|20150615|4|6|49|64
lacnic|20150715|5|9|44|68
lacnic|20150815|5|11|35|74
lacnic|20150915|7|13|36|73
lacnic|20151015|7|9|42|78
lacnic|20151115|8|12|38|81
lacnic|20151215|7|9|38|92
lacnic|20160115|7|10|40|102
lacnic|20160215|10|13|42|115
lacnic|20160315|10|12|36|128
lacnic|20160415|8|19|37|129
lacnic|20160515|6|17|48|127
lacnic|20160615|8|19|42|145
lacnic|20160715|5|14|49|145
lacnic|20160815|5|8|55|149
lacnic|20160915|5|8|50|151
lacnic|20161015|8|15|49|156
lacnic|20161115|5|15|41|171
lacnic|20161215|4|10|44|186
lacnic|20170115|6|10|46|182
lacnic|20170215|8|16|55|168
lacnic|20170315|6|17|56|184
lacnic|20170415|6|17|52|190
lacnic|20170515|7|20|65|194
lacnic|20170615|6|22|67|214
