as_type|date|tam_1|tam_2|tam_3|tam_4plus
isp|20201115|2441|1817|1386|2023
isp|20201215|2551|1867|1361|2046
isp|20210115|2559|1858|1395|2087
isp|20210215|2630|1861|1382|2028
isp|20210315|2652|1920|1375|2077
isp|20210415|2660|1957|1421|2121
isp|20210515|2648|2007|1410|2147
isp|20210615|2721|1993|1437|2168
isp|20210715|2782|2000|1443|2201
isp|20210815|2809|2051|1504|2185
isp|20210915|2883|2088|1470|2208
isp|20211015|2871|2134|1474|2239
isp|20211115|2878|2107|1517|2274
isp|20211215|2898|2144|1566|2268
isp|20220115|2981|2162|1591|2328
isp|20220215|3010|2189|1628|2292
isp|20220315|3011|2204|1615|2345
isp|20220415|3233|2198|1598|2369
isp|20220515|3052|2229|1612|2376
isp|20220615|3155|2202|1631|2406
isp|20220715|3099|2260|1640|2429
isp|20220815|3133|2260|1625|2433
isp|20220915|3329|2298|1675|2421
isp|20221015|3117|2300|1652|2480
isp|20221115|3169|2267|1654|2450
isp|20221215|3177|2284|1693|2443
isp|20230115|3205|2302|1697|2462
isp|20230215|3194|2352|1708|2497
isp|20230315|3202|2372|1724|2483
isp|20230415|3254|2402|1710|2536
isp|20230515|3269|2445|1742|2530
isp|20230615|3320|2368|1773|2584
isp|20230715|3250|2407|1760|2587
isp|20230815|3283|2420|1761|2628
isp|20230915|3310|2447|1744|2683
isp|20231015|3325|2442|1725|2712
isp|20231115|3365|2496|1754|2687
isp|20231215|3348|2485|1781|2691
isp|20240115|3381|2502|1770|2721
isp|20240215|3395|2562|1746|2708
isp|20240315|3400|2572|1777|2700
isp|20240415|3449|2568|1768|2750
isp|20240515|3413|2611|1830|2753
isp|20240615|3571|2619|1810|2815
none|20140615|690|507|606|726
none|20140715|679|520|597|731
none|20140815|675|497|609|718
none|20140915|674|510|601|712
none|20141015|688|518|609|714
none|20141115|689|511|589|713
none|20141215|692|514|620|714
none|20150115|698|528|617|719
none|20150215|685|512|613|731
none|20150315|670|525|607|748
none|20150415|692|526|595|767
none|20150515|691|521|619|781
none|20150615|693|520|620|770
none|20150715|692|520|598|765
none|20150815|692|527|576|754
none|20150915|687|519|585|766
none|20151015|689|529|574|767
none|20151115|680|513|579|783
none|20151215|698|523|575|763
none|20160115|689|526|587|735
none|20160215|684|535|596|764
none|20160315|701|539|595|762
none|20160415|680|547|582|764
none|20160515|678|539|580|767
none|20160615|679|528|580|776
none|20160715|688|526|572|779
none|20160815|694|533|566|770
none|20160915|673|537|569|779
none|20161015|735|522|559|776
none|20161115|683|531|570|771
none|20161215|675|519|570|776
none|20170115|673|520|561|787
none|20170215|684|520|574|790
none|20170315|708|521|570|777
none|20170415|668|523|570|757
none|20170515|670|518|563|750
none|20170615|660|499|577|763
none|20170715|652|520|574|756
none|20170815|659|510|579|744
none|20170915|652|505|581|737
none|20171015|636|523|588|721
none|20171115|644|521|572|719
none|20171215|647|523|572|716
none|20180115|639|515|566|722
none|20180215|644|514|577|718
none|20180315|777|525|560|719
none|20180415|632|513|568|700
none|20180515|645|502|569|695
none|20180615|642|477|560|704
none|20180715|634|483|571|691
none|20180815|632|500|552|695
none|20180915|626|494|560|682
none|20181015|631|478|560|691
none|20181115|615|494|547|683
none|20181215|604|487|542|669
none|20190115|610|480|531|683
none|20190215|617|486|527|695
none|20190315|625|472|518|698
none|20190415|627|471|538|689
none|20190515|624|480|526|679
none|20190615|632|470|528|672
none|20190715|623|464|527|674
none|20190815|606|478|534|654
none|20190915|601|483|527|643
none|20191015|599|472|504|654
none|20191115|603|449|519|651
none|20191215|585|448|509|624
none|20200115|615|443|500|620
none|20200215|600|441|481|637
none|20200315|615|445|485|623
none|20200415|599|437|496|634
none|20200515|591|438|493|627
none|20200615|581|436|486|626
none|20200715|577|423|482|604
none|20200815|564|420|471|589
none|20200915|574|401|473|580
none|20201015|564|392|450|568
none|20201115|559|402|447|565
none|20201215|547|424|439|542
none|20210115|549|404|434|556
none|20210215|536|407|440|535
none|20210315|535|385|435|529
none|20210415|524|381|432|541
none|20210515|510|399|420|523
none|20210615|506|394|420|512
none|20210715|508|387|413|506
none|20210815|499|381|423|498
none|20210915|494|385|407|486
none|20211015|493|379|393|486
none|20211115|488|369|390|486
none|20211215|471|362|394|482
none|20220115|471|362|380|487
none|20220215|459|359|392|472
none|20220315|431|335|390|454
none|20220415|456|335|375|442
none|20220515|410|320|358|442
none|20220615|405|322|336|426
none|20220715|392|321|335|416
none|20220815|386|310|311|417
none|20220915|413|297|310|409
none|20221015|376|283|296|388
none|20221115|358|261|283|374
none|20221215|358|263|273|352
none|20230115|346|255|273|337
none|20230215|332|236|249|331
none|20230315|317|229|251|314
none|20230415|322|210|236|308
none|20230515|312|206|230|285
none|20230615|281|215|224|285
none|20230715|268|201|204|269
none|20230815|254|199|202|283
none|20230915|239|184|194|272
none|20231015|231|174|189|257
none|20231115|214|158|170|245
none|20231215|209|151|159|219
none|20240115|180|140|151|191
none|20240215|184|130|144|181
none|20240315|169|121|133|172
none|20240415|151|108|118|163
none|20240515|143|94|110|142
none|20240615|125|82|100|126
