asn|aspp_average|moreSpecific_average|selective_average
1770||33.33|100.0
1771||37.82|
1773|100.0||
1776||50.0|
1778|22.85|14.61|100.0
1780|33.33||100.0
1781||23.44|64.0
1782|100.0||
1785||4.49|85.86
1786|100.0||
1789||6.4|
1790|12.36|4.65|83.25
1797||36.18|0.0
1798|71.66|9.83|60.41
1803|60.02|4.52|100.0
1809|100.0||
1810||4.5|98.53
1811|50.0||96.29
1813|||17.67
1814|||14.74
1818|59.93||88.19
1819|48.67|31.3|54.38
1820|95.93|18.31|99.97
1821|100.0||20.62
1823|25.0||100.0
1824|||71.79
1825|99.45||68.75
1827|100.0|20.0|
1828|17.58|7.73|100.0
1830|50.0|50.0|100.0
1831||50.0|
1832|71.43|32.72|75.76
1835||22.23|19.17
1836|44.01|9.67|85.2
1837|72.22||100.0
1838||17.86|
1840||14.31|38.07
1842|17.76|10.89|99.99
1843||22.22|100.0
1848||17.82|95.58
1849||20.0|100.0
1850|||67.0
1851|12.5|12.01|100.0
1853|81.44|17.95|100.0
1873|100.0||
1874|69.9|10.13|67.33
1879|33.33||89.0
1880|5.79|24.11|92.44
1881||24.94|
1883|||67.0
1885|100.0||
1886|16.67|19.56|20.45
1887||33.33|
1897||9.09|
1901||9.09|83.0
1902|54.1|14.97|100.0
1904|50.88||70.0
1906|35.14|4.11|
1911|25.0||
1916|46.38|15.26|94.82
1921|76.51||88.72
1926||43.82|
1929|100.0||20.0
1930|28.56|2.62|33.27
1931|49.86|30.74|99.41
1932||36.97|86.13
1935||33.33|
1938||50.0|
1942||38.53|83.0
1945||43.91|33.0
1948||49.02|
1955|59.8|11.02|73.95
1959||25.3|
1961||33.33|
1965|88.6|15.66|86.51
1967|79.29|50.0|
1968|72.4|26.61|2.03
1970||13.26|3.52
1975|77.29|50.0|9.58
1982|||87.14
1983||41.25|54.0
1985||3.85|
1989||3.45|
1996|40.69||100.0
1998||19.62|
1999||14.91|67.5
2002||33.33|94.52
2003|20.83|9.68|98.26
2011|40.0|50.0|97.37
2012||33.33|
2013||17.27|91.45
2015||15.78|98.87
2018|93.68|10.98|82.73
2021|54.33|13.73|93.73
2024||28.49|
2025|67.1|38.96|17.68
2027|100.0||77.94
2030|75.0||
2031|||100.0
2033|19.49|10.54|28.34
2035|54.32|12.1|62.04
2036||50.0|
2037||50.0|
2041||48.87|
2042|36.93|24.46|49.06
2044|53.21|4.03|76.36
2046|33.23|13.24|
2047|30.21|11.11|100.0
2048||8.85|77.18
2055|53.69|11.91|40.42
2060||50.0|
2065||50.0|
2067|77.5|50.0|
2072|||100.0
2088|||25.0
2094|53.61|18.02|98.38
2096|100.0||
2103||36.87|100.0
2107|76.25|6.36|73.73
2108||14.44|17.44
2110||16.9|36.0
2114|100.0||
2115|86.11||
2116|40.27|3.47|85.5
2118|18.96|5.62|58.43
2119|1.01|7.45|97.07
2128|||69.48
2129|11.37|13.57|100.0
2134|30.59|13.9|100.0
2140||32.3|72.7
2143|||100.0
2147|6.46|17.75|69.3
2148|96.59||21.38
2152|86.43|9.34|96.0
2153|||52.5
2154||10.13|7.22
2158||5.85|6.91
2159|93.39|12.37|13.28
2161|100.0|25.0|53.0
2162|86.0||59.88
2164|||8.0
2165|26.25|20.33|55.2
2166||23.01|100.0
2170|33.33||
2173|83.7||46.38
2187|100.0|10.34|100.0
2200|20.95|20.95|99.26
2202||15.28|2.0
2206|84.92||100.0
2208|100.0||
2222|100.0||
2259||4.77|13.83
2263|33.33||92.42
2269||35.72|
2274|78.36|48.69|33.8
2278|100.0|33.1|
2280|14.41|20.14|52.73
2285|||100.0
2286|50.37||
2287|50.0||
2320|100.0||
2345|100.0||
2379||7.8|
2381|87.46|16.7|63.45
2384|71.81|24.3|94.12
2385|77.9||62.41
2386|3.67|2.51|100.0
2418||50.0|
